team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Villarreal,222,3894563,lost,0,16,0.9318213859947561,11.811092721703538,0.7381932951064711,0.16666666666666666
Villarreal,222,3894666,win,1,16,0.9549020122044009,12.95910295194688,0.80994393449668,0.13762376237623763
Villarreal,222,3894558,lost,0,16,0.96767231279193,13.737003762909064,0.8585627351818165,0.14199029126213591
Villarreal,222,3894628,draw,0,16,0.9686305637088599,13.687846637136214,0.8554904148210134,0.1310452418096724
Villarreal,222,3894714,lost,0,16,0.9243155371449052,11.463148180461076,0.7164467612788172,0.13992537313432835
Celta Vigo,209,3894580,lost,0,15,0.9379838402354591,11.098508567808857,0.7399005711872572,0.2305194805194805
Celta Vigo,209,3894678,draw,0,15,0.950807005831443,12.065273348422641,0.8043515565615095,0.16040688575899845
Celta Vigo,209,3894721,draw,0,14,0.9392827598138723,10.672799923665837,0.7623428516904169,0.2329700272479564
Celta Vigo,209,3894763,lost,0,16,0.9517732725968838,12.608496201544295,0.7880310125965184,0.24312896405919662
Celta Vigo,209,3894571,lost,0,15,0.9548823714649731,12.21897300871507,0.8145982005810046,0.1830122591943958
Celta Vigo,209,3894862,win,1,16,0.9515280678167193,12.55572031965728,0.78473251997858,0.09394904458598727
Celta Vigo,209,3894742,lost,0,15,0.9587243568871369,12.213589367241894,0.8142392911494596,0.220763723150358
Celta Vigo,209,3894811,win,1,16,0.9444060921323791,12.211936626428026,0.7632460391517516,0.12099125364431487
Celta Vigo,209,3894709,win,1,15,0.9594232575032071,12.372754085047754,0.824850272336517,0.21236559139784947
Celta Vigo,209,3894530,lost,0,16,0.9484193685202246,12.602371056275308,0.7876481910172067,0.177734375
Celta Vigo,209,3894630,lost,0,13,0.9726922124675249,11.508867266914686,0.8852974820703605,0.21120689655172414
Celta Vigo,209,3894871,lost,0,15,0.9280889070295818,11.104466908338024,0.7402977938892016,0.14458955223880596
Celta Vigo,209,3894788,draw,0,15,0.9453983440987679,11.678407387986567,0.7785604925324379,0.33695652173913043
Celta Vigo,209,3894617,draw,0,15,0.9454719500432345,11.809982105491205,0.7873321403660803,0.1491628614916286
Celta Vigo,209,3894901,win,1,16,0.9655046688781305,13.353552759738527,0.8345970474836579,0.14130434782608695
Celta Vigo,209,3894598,lost,0,15,0.9578748283529528,12.262048435707838,0.8174698957138559,0.17647058823529413
Celta Vigo,209,3894660,draw,0,16,0.9389412991014213,12.262812685365923,0.7664257928353702,0.2611241217798595
Celta Vigo,209,3894882,win,1,16,0.9576544316740715,13.10805142332124,0.8192532139575776,0.15377697841726617
Celta Vigo,209,3894858,lost,0,16,0.9498276671757023,12.419684973223246,0.7762303108264529,0.142226148409894
Celta Vigo,209,3894755,win,1,14,0.9182571450412397,9.64722762696728,0.6890876876405201,0.2957516339869281
Celta Vigo,209,3894647,draw,0,16,0.9485378837288018,12.715158795586696,0.7946974247241685,0.2159383033419023
Celta Vigo,209,3894619,lost,0,16,0.9396806037942022,12.073327823199941,0.7545829889499963,0.16083150984682712
