n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,team,team_id,match_id,sf,ec,result,points
14,97,0.532967032967033,0.8351648351648352,0.1734594941178543,1.5,0.7422680412371134,Celta Vigo,209,3894721,0.2329700272479564,0.23092144414601082,draw,1
16,126,0.525,0.825,0.10045261141016225,1.4958333333333333,0.7619047619047619,Celta Vigo,209,3894763,0.24312896405919662,0.20688163031948753,lost,0
15,120,0.5714285714285714,0.8571428571428571,0.16733996349344074,1.4333333333333333,0.75,Celta Vigo,209,3894571,0.1830122591943958,0.223672888513496,lost,0
16,141,0.5875,0.8416666666666667,0.1599787622697109,1.4166666666666667,0.8368794326241135,Celta Vigo,209,3894862,0.09394904458598727,0.21965891890883937,win,3
15,116,0.5523809523809524,0.8428571428571429,0.13987817894479662,1.4523809523809523,0.7586206896551724,Celta Vigo,209,3894742,0.220763723150358,0.22985591095510746,lost,0
16,134,0.5583333333333333,0.8125,0.12253482385427236,1.4458333333333333,0.8805970149253731,Celta Vigo,209,3894811,0.12099125364431487,0.20701512229085678,win,3
15,102,0.4857142857142857,0.8,0.17288356196187346,1.6142857142857143,0.7647058823529411,Celta Vigo,209,3894709,0.21236559139784947,0.21508940483897815,win,3
16,111,0.4625,0.7819444444444446,0.14107090895855817,1.6166666666666667,0.7747747747747747,Celta Vigo,209,3894530,0.177734375,0.20857262223445722,lost,0
13,92,0.5897435897435898,0.8782051282051282,0.24661642949437096,1.4166666666666667,0.717391304347826,Celta Vigo,209,3894630,0.21120689655172414,0.26070709858160657,lost,0
15,105,0.5,0.782539682539683,0.1826052053376699,1.4666666666666666,0.8380952380952381,Celta Vigo,209,3894871,0.14458955223880596,0.20950576702034046,lost,0
15,93,0.44285714285714284,0.819047619047619,0.2187925884529192,1.6428571428571428,0.5591397849462365,Celta Vigo,209,3894788,0.33695652173913043,0.21753852403813922,draw,1
15,116,0.5523809523809524,0.8222222222222224,0.1465837579755257,1.4,0.7931034482758621,Celta Vigo,209,3894617,0.1491628614916286,0.2212523363998439,draw,1
16,118,0.49166666666666664,0.8236111111111113,0.09338395830037918,1.5875,0.6610169491525424,Celta Vigo,209,3894901,0.14130434782608695,0.19446764831272495,win,3
15,119,0.5666666666666667,0.8523809523809524,0.18086219286197852,1.4666666666666666,0.7563025210084033,Celta Vigo,209,3894598,0.17647058823529413,0.2157287357894183,lost,0
16,111,0.4625,0.7736111111111115,0.17086200569481957,1.475,0.7927927927927928,Celta Vigo,209,3894660,0.2611241217798595,0.21123651028707918,draw,1
16,119,0.49583333333333335,0.8236111111111111,0.08280301919644525,1.5583333333333333,0.6890756302521008,Celta Vigo,209,3894882,0.15377697841726617,0.20950734170601573,win,3
16,138,0.575,0.8541666666666666,0.07441135765496579,1.425,0.7681159420289855,Celta Vigo,209,3894858,0.142226148409894,0.2095274227652031,lost,0
14,89,0.489010989010989,0.8241758241758244,0.20122619606457876,1.5934065934065933,0.651685393258427,Celta Vigo,209,3894755,0.2957516339869281,0.21285817017884137,win,3
16,107,0.44583333333333336,0.775,0.1930703418022805,1.6375,0.7663551401869159,Celta Vigo,209,3894647,0.2159383033419023,0.20837972187943007,draw,1
16,121,0.5041666666666667,0.8208333333333333,0.17793227865902053,1.5541666666666667,0.7272727272727273,Celta Vigo,209,3894619,0.16083150984682712,0.2102545588729695,lost,0
16,122,0.5083333333333333,0.8,0.2576260312079372,1.525,0.819672131147541,Celta Vigo,209,3894806,0.16789215686274508,0.22144824349439612,lost,0
16,109,0.45416666666666666,0.7736111111111114,0.1396011293557706,1.475,0.7706422018348624,Celta Vigo,209,3894841,0.1942257217847769,0.20990740110780007,win,3
16,118,0.49166666666666664,0.8111111111111112,0.17709762115177113,1.6166666666666667,0.7288135593220338,Celta Vigo,209,3894892,0.16359918200409,0.21597885054008698,win,3
16,126,0.525,0.8416666666666667,0.17298840627574796,1.4875,0.6984126984126984,Celta Vigo,209,3894735,0.23183760683760685,0.221075650806074,lost,0
13,100,0.6410256410256411,0.8846153846153846,0.18506108763956192,1.3653846153846154,0.8,Celta Vigo,209,3894657,0.21012658227848102,0.2508284933016193,lost,0
16,131,0.5458333333333333,0.8208333333333333,0.12088025929269632,1.4666666666666666,0.8244274809160306,Celta Vigo,209,3894838,0.14319620253164558,0.20635657176484623,lost,0
16,129,0.5375,0.8333333333333334,0.15551354250975735,1.4666666666666666,0.7596899224806202,Celta Vigo,209,3894707,0.17783985102420857,0.22678527862639505,lost,0
16,143,0.5958333333333333,0.8458333333333333,0.20724081742303693,1.4625,0.8391608391608392,Celta Vigo,209,3894827,0.13414634146341464,0.22072944292130992,draw,1
15,123,0.5857142857142857,0.8428571428571429,0.11573058465754714,1.4142857142857144,0.8292682926829268,Celta Vigo,209,3894789,0.13358778625954199,0.21837108457001,win,3
16,110,0.4583333333333333,0.8,0.13890071071175958,1.5916666666666666,0.6909090909090909,Celta Vigo,209,3894774,0.2591623036649215,0.20039537218349665,lost,0
15,105,0.5,0.8285714285714286,0.15723565744471818,1.5238095238095237,0.6857142857142857,Celta Vigo,209,3894687,0.2275064267352185,0.22723957344026313,draw,1
14,90,0.4945054945054945,0.8241758241758241,0.13842629875190982,1.5824175824175823,0.6888888888888889,Celta Vigo,209,3894692,0.27958579881656803,0.22719731558242987,win,3
15,104,0.49523809523809526,0.8095238095238095,0.1940517612223666,1.5238095238095237,0.75,Celta Vigo,209,3894544,0.23391089108910892,0.23061286374665185,draw,1
14,90,0.4945054945054945,0.8260073260073262,0.19400798922700574,1.5879120879120878,0.6666666666666666,Celta Vigo,209,3894603,0.2791519434628975,0.24079563938275023,lost,0
14,100,0.5494505494505495,0.8516483516483516,0.24015266311865796,1.5054945054945055,0.72,Celta Vigo,209,3894566,0.18797953964194372,0.22421251762014835,win,3
14,105,0.5769230769230769,0.8315018315018315,0.1430174133634736,1.3516483516483517,0.8380952380952381,Celta Vigo,209,3894554,0.21119592875318066,0.23800300208371908,lost,0
